mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
10,117,1,5,6,0.002500000,-0.046400000,-0.008100000,0.095300000,0.017900000,0.014900000
10,118,2,5,7,0.024200000,-0.143700000,-0.029800000,0.135700000,0.024000000,0.044100000
10,119,3,5,8,0.041600000,-0.215000000,-0.047300000,0.139200000,0.009600000,0.110300000
10,120,4,5,9,0.035300000,-0.189900000,-0.041000000,0.110100000,-0.022700000,0.209000000
10,121,1,5,1,0.014000000,-0.023000000,-0.014000000,0.029400000,0.014500000,0.002400000
10,122,2,5,2,0.026400000,-0.053700000,-0.026500000,0.046900000,0.010900000,0.019600000
10,123,3,5,3,0.033000000,-0.077300000,-0.033100000,0.056500000,0.002300000,0.044700000
10,124,4,5,4,0.027200000,-0.073500000,-0.027400000,0.052600000,-0.014900000,0.083300000
10,125,1,0,4,-0.094900000,-0.394600000,-0.095000000,-0.170300000,0.116800000,-0.293800000
10,126,2,0,3,-0.188700000,-0.763200000,-0.188800000,-0.057600000,0.049100000,-0.144500000
10,127,3,0,2,-0.176600000,-0.727900000,-0.176700000,0.154500000,-0.071400000,0.104200000
10,128,4,0,1,-0.074200000,-0.334500000,-0.074200000,0.226400000,-0.110800000,0.212600000
10,129,1,0,9,0.034700000,0.101400000,0.027600000,0.062900000,-0.030100000,0.052300000
10,130,2,0,8,0.065400000,0.209400000,0.058300000,0.080100000,-0.025600000,0.014800000
10,131,3,0,7,0.081200000,0.262600000,0.074200000,0.063900000,-0.000900000,-0.056000000
10,132,4,0,6,0.064200000,0.202700000,0.057200000,0.023900000,0.038800000,-0.150600000
10,133,1,5,9,-0.003700000,0.035400000,0.003000000,-0.060100000,0.005900000,0.036400000
10,134,2,5,8,-0.016900000,-0.018000000,-0.010300000,-0.088400000,0.017200000,0.016300000
10,135,3,5,7,-0.032600000,-0.085900000,-0.026100000,-0.082700000,0.010800000,0.030300000
10,136,4,5,6,-0.033200000,-0.100900000,-0.026800000,-0.044400000,-0.012500000,0.076900000
10,137,1,5,4,0.001800000,0.024400000,0.002000000,0.000700000,-0.002300000,0.006200000
10,138,2,5,3,0.002900000,0.023000000,0.003000000,-0.007700000,-0.000100000,0.000100000
10,139,3,5,2,0.002500000,0.012700000,0.002600000,-0.010900000,0.000900000,-0.000700000
10,140,4,5,1,0.001300000,0.002300000,0.001400000,-0.010300000,0.001400000,0.002300000
