mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
9,8,0,0,7,-0.018000000,-0.041600000,-0.000400000,0.000800000,-0.001700000,0.043600000
9,9,0,0,8,-0.016400000,-0.034400000,-0.000500000,-0.013000000,0.004300000,0.019700000
9,10,0,0,9,-0.009800000,-0.017700000,-0.000500000,-0.017900000,0.008200000,-0.004300000
9,11,0,0,10,-0.000700000,-0.001000000,-0.000500000,-0.013000000,0.009100000,-0.028200000
9,12,5,0,0,0.000000000,0.000000000,0.000000000,-0.022900000,-0.013900000,-0.070100000
9,13,5,0,1,-0.015200000,0.018800000,0.000000000,-0.013400000,-0.014400000,-0.072200000
9,14,5,0,2,-0.027000000,0.026100000,-0.000100000,-0.001300000,-0.007500000,-0.074200000
9,15,5,0,3,-0.029200000,0.022000000,-0.000100000,0.008300000,0.003800000,-0.076300000
9,16,5,0,4,-0.019400000,0.011000000,-0.000100000,0.011700000,0.015000000,-0.078400000
9,17,5,0,5,-0.000200000,0.000400000,-0.000200000,0.007500000,0.021600000,-0.080500000
9,18,5,0,6,0.016500000,-0.004200000,-0.000200000,0.002100000,0.011600000,-0.057100000
9,19,5,0,7,0.023000000,-0.004100000,-0.000200000,-0.001500000,0.001600000,-0.033700000
9,20,5,0,8,0.020200000,-0.001700000,-0.000200000,-0.002600000,-0.006500000,-0.010300000
9,21,5,0,9,0.011000000,0.000500000,-0.000200000,-0.001000000,-0.011000000,0.013100000
9,22,5,0,10,-0.000600000,-0.000200000,-0.000200000,0.003000000,-0.011000000,0.036400000
9,23,5,5,0,0.000000000,0.000000000,0.000000000,-0.004100000,0.000500000,0.005700000
9,24,5,5,1,0.001600000,0.003500000,0.000000000,-0.002900000,0.002300000,0.005900000
9,25,5,5,2,0.004200000,0.005700000,0.000000000,-0.001500000,0.002400000,0.006200000
9,26,5,5,3,0.006100000,0.006300000,0.000000000,0.000400000,0.000900000,0.006400000
9,27,5,5,4,0.005500000,0.004800000,0.000000000,0.003000000,-0.002600000,0.006600000
9,28,5,5,5,0.000300000,0.000100000,0.000000000,0.006700000,-0.008700000,0.006900000
9,29,5,5,6,-0.007000000,-0.008500000,0.000100000,0.009200000,-0.005700000,-0.016700000
9,30,5,5,7,-0.011100000,-0.017200000,0.000100000,0.007100000,-0.002300000,-0.040200000
9,31,5,5,8,-0.011500000,-0.021600000,0.000100000,0.000600000,0.001600000,-0.063800000
9,32,5,5,9,-0.007800000,-0.017300000,0.000200000,-0.010200000,0.005800000,-0.087400000
9,33,5,5,10,0.000100000,-0.000200000,0.000200000,-0.025100000,0.010200000,-0.110900000
9,34,0,5,0,0.000000000,0.000000000,0.000000000,-0.006800000,-0.001400000,-0.007100000
9,35,0,5,1,-0.002800000,0.005300000,0.000000000,-0.004000000,-0.003600000,-0.009400000
9,36,0,5,2,-0.006600000,0.008100000,0.000100000,-0.001600000,-0.003400000,-0.011700000
9,37,0,5,3,-0.009100000,0.008500000,0.000100000,0.000900000,-0.001000000,-0.014000000
9,38,0,5,4,-0.008000000,0.006200000,0.000100000,0.004000000,0.004200000,-0.016400000
9,39,0,5,5,0.000100000,0.000300000,0.000200000,0.008200000,0.013000000,-0.018700000
9,40,0,5,6,0.011300000,-0.004400000,0.000200000,0.001800000,0.009200000,0.009800000
9,41,0,5,7,0.018100000,-0.004000000,0.000200000,-0.001800000,0.004100000,0.038200000
9,42,0,5,8,0.019200000,-0.001400000,0.000200000,-0.002600000,-0.002100000,0.066700000
9,43,0,5,9,0.013600000,0.000600000,0.000200000,-0.000600000,-0.009300000,0.095100000
9,44,0,5,10,0.000500000,-0.000900000,0.000200000,0.004200000,-0.017200000,0.123600000
9,45,1,0,10,-0.000700000,-0.021900000,-0.008000000,-0.009800000,0.005800000,-0.014900000
9,46,2,0,10,-0.000700000,-0.032100000,-0.012000000,-0.006600000,0.002200000,-0.005800000
9,47,3,0,10,-0.000700000,-0.033600000,-0.012400000,-0.003400000,-0.001700000,0.003000000
9,48,4,0,10,-0.000700000,-0.025000000,-0.008600000,-0.000200000,-0.006000000,0.015300000
9,49,1,5,10,0.000400000,0.083200000,0.012600000,-0.001700000,-0.008300000,0.052500000
9,50,2,5,10,0.000300000,0.114100000,0.017100000,-0.007500000,-0.001300000,0.012600000
9,51,3,5,10,0.000300000,0.111700000,0.015500000,-0.013400000,0.004000000,-0.017100000
9,52,4,5,10,0.000200000,0.078200000,0.009400000,-0.019200000,0.007800000,-0.052100000
9,53,0,1,10,0.370100000,-0.001000000,-0.009700000,-0.005700000,0.003800000,-0.617100000
9,54,0,2,10,0.957700000,-0.000900000,-0.012300000,0.000100000,-0.001400000,-0.405800000
9,55,0,3,10,1.000000000,-0.000900000,-0.010000000,0.003900000,-0.006700000,0.332500000
9,56,0,4,10,0.440200000,-0.000900000,-0.005000000,0.005300000,-0.012000000,0.642700000
9,57,5,1,10,-0.365500000,-0.000200000,0.006300000,0.008300000,-0.006800000,0.598600000
9,58,5,2,10,-0.930300000,-0.000200000,0.015200000,0.007800000,-0.002500000,0.384700000
9,59,5,3,10,-0.962700000,-0.000200000,0.020700000,0.001500000,0.001700000,-0.328700000
9,60,5,4,10,-0.418800000,-0.000200000,0.017200000,-0.009900000,0.005900000,-0.619000000
9,61,0,1,5,-0.063200000,0.000200000,0.025300000,0.012200000,-0.009700000,0.035900000
9,62,0,2,5,-0.077300000,0.000200000,0.026400000,-0.006500000,-0.004000000,-0.004700000
9,63,0,3,5,-0.059400000,0.000200000,0.014800000,-0.013400000,0.001700000,-0.028100000
9,64,0,4,5,-0.027300000,0.000200000,0.002100000,-0.008500000,0.007400000,-0.032800000
9,65,5,1,5,0.053300000,0.000400000,0.003500000,0.000700000,0.015600000,-0.029000000
9,66,5,2,5,0.062900000,0.000300000,0.002000000,-0.002700000,0.009500000,0.007000000
9,67,5,3,5,0.045100000,0.000200000,-0.001300000,-0.002800000,0.003400000,0.025500000
9,68,5,4,5,0.018000000,0.000200000,-0.003000000,0.000300000,-0.002600000,0.025500000
9,69,2,0,5,-0.000500000,0.046100000,0.018500000,0.028500000,-0.004100000,0.000600000
9,70,3,0,5,-0.000400000,0.044800000,0.019900000,0.021500000,0.001700000,-0.003100000
9,71,4,0,5,-0.000300000,0.037700000,0.014700000,0.014500000,0.009600000,-0.014200000
9,72,1,0,5,-0.000600000,0.040900000,0.011800000,0.035600000,-0.009400000,0.013500000
9,73,2,5,5,0.000200000,-0.036800000,-0.014000000,0.007600000,0.001500000,-0.006300000
9,74,3,5,5,0.000200000,-0.032800000,-0.013000000,0.007300000,-0.003200000,0.013400000
9,75,4,5,5,0.000200000,-0.014600000,-0.007900000,0.007000000,-0.006700000,0.019700000
9,76,1,5,5,0.000100000,-0.021600000,-0.009800000,0.007900000,0.007000000,-0.021600000
9,77,5,1,1,-0.062000000,-0.011700000,0.011800000,0.029300000,-0.094700000,0.027200000
9,78,5,2,2,-0.100400000,-0.019700000,0.019700000,-0.026700000,0.018800000,-0.069900000
9,79,5,3,3,0.064000000,0.025900000,-0.025800000,-0.040800000,0.058600000,-0.093200000
9,80,5,4,4,0.094400000,0.030700000,-0.030600000,0.029500000,-0.054500000,0.036200000
9,81,0,4,4,-0.096600000,0.012500000,-0.012100000,0.028600000,0.053100000,-0.040100000
9,82,0,1,1,-0.004000000,0.087300000,-0.087200000,-0.081000000,0.065900000,0.003100000
9,83,0,2,2,0.016900000,0.126400000,-0.126300000,0.015700000,-0.004200000,0.054500000
9,84,0,3,3,-0.093500000,0.069200000,-0.068900000,0.075400000,-0.033300000,0.064900000
9,85,5,1,4,0.026600000,0.007000000,0.006600000,0.005400000,0.035500000,-0.045100000
9,86,5,2,3,0.026700000,0.009500000,0.009100000,0.000700000,0.031500000,-0.027700000
9,87,5,3,2,0.019000000,0.008000000,0.007800000,-0.002300000,0.022800000,-0.015000000
9,88,5,4,1,0.009200000,0.004400000,0.004300000,-0.003800000,0.012400000,-0.003900000
9,89,0,1,4,-0.031400000,0.021800000,0.021400000,0.007600000,-0.038500000,0.045800000
9,90,0,2,3,-0.028600000,0.022800000,0.022400000,-0.004100000,-0.033900000,0.027900000
9,91,0,3,2,-0.019700000,0.016400000,0.016200000,-0.008200000,-0.023700000,0.015600000
9,92,0,4,1,-0.009900000,0.007900000,0.007800000,-0.008900000,-0.012600000,0.004200000
9,93,0,1,9,0.008800000,-0.009700000,-0.009400000,-0.005300000,0.016800000,-0.019400000
9,94,0,2,8,0.007500000,-0.012400000,-0.012200000,-0.000600000,0.019400000,-0.015600000
9,95,0,3,7,0.002700000,-0.011200000,-0.011000000,0.002900000,0.019400000,-0.014500000
9,96,0,4,6,-0.001100000,-0.006800000,-0.006800000,0.005800000,0.017400000,-0.015400000
9,97,5,1,9,-0.014900000,0.000300000,0.000300000,-0.001400000,-0.017300000,0.023800000
9,98,5,2,8,-0.015900000,-0.001800000,-0.001800000,-0.002500000,-0.018500000,0.016200000
9,99,5,3,7,-0.011100000,-0.003800000,-0.003800000,-0.001400000,-0.017100000,0.011200000
9,100,5,4,6,-0.004500000,-0.003900000,-0.003900000,0.001500000,-0.014000000,0.008000000
9,101,5,4,9,-0.112800000,-0.033100000,0.033200000,-0.022300000,-0.021900000,-0.070400000
9,102,5,3,8,-0.047500000,-0.027900000,0.028100000,0.031400000,-0.122900000,0.038900000
9,103,5,2,7,0.124800000,0.008900000,-0.008700000,0.027900000,-0.097900000,0.022300000
9,104,5,1,6,0.131600000,0.013200000,-0.013000000,-0.015600000,0.017200000,-0.084400000
9,105,0,4,9,0.150700000,0.013300000,-0.013900000,0.005200000,0.005200000,0.095100000
9,106,0,3,8,0.108300000,-0.009400000,0.009000000,-0.048800000,0.130100000,-0.035800000
9,107,0,2,7,-0.091400000,-0.059400000,0.059000000,-0.032700000,0.124600000,-0.036300000
9,108,0,1,6,-0.130900000,-0.053500000,0.053200000,0.042400000,-0.001300000,0.083500000
9,109,1,0,1,-0.059000000,0.306100000,0.059000000,-0.184200000,-0.090000000,0.187800000
9,110,2,0,2,-0.139500000,0.610200000,0.139300000,-0.090700000,-0.050700000,0.075200000
9,111,3,0,3,-0.140200000,0.579100000,0.139900000,0.093900000,0.048700000,-0.128600000
9,112,4,0,4,-0.062300000,0.251800000,0.062000000,0.152300000,0.087400000,-0.206100000
9,113,1,0,6,-0.008800000,0.027800000,0.007900000,0.054400000,-0.002500000,0.060800000
9,114,2,0,7,-0.006700000,0.020900000,0.005800000,0.057600000,0.005000000,0.038700000
9,115,3,0,8,-0.000200000,-0.000600000,-0.000700000,0.050000000,0.006000000,0.027400000
9,116,4,0,9,0.003900000,-0.014600000,-0.004700000,0.031300000,0.000400000,0.027100000
9,117,1,5,6,0.006900000,-0.001900000,-0.006700000,-0.025300000,0.000700000,-0.010300000
9,118,2,5,7,0.004100000,0.025200000,-0.003800000,-0.045700000,-0.006100000,-0.015100000
